"0","t.test(Wind ~ Month, data = aug_july_df, alternative = ""two.sided"", var.equal=TRUE)"
"1","
"
"1","	Two Sample t-test"
"1","
"
"1","
"
"1","data:  "
"1",""
"1","Wind by Month"
"1",""
"1","
"
"1","t = 0.1865, df = 60, p-value = 0.8527"
"1","
"
"1","alternative hypothesis: "
"1","true "
"1",""
"1","difference in means between group 7 and group 8"
"1",""
"1"," is "
"1",""
"1","not equal to"
"1",""
"1"," "
"1",""
"1","0"
"1",""
"1","
"
"1","95"
"1",""
"1"," percent confidence interval:
"
"1",""
"1"," "
"1",""
"1","-1.443108  1.739883"
"1",""
"1","
"
"1","sample estimates:
"
"1","mean in group 7 "
"1","mean in group 8 "
"1","
"
"1","       8.941935 "
"1","       8.793548 "
"1","
"
"1","
"
