"country","alcohol","cirrhosis","alcohol2","alcohol3"
"France",24.7,46.1,74.1,73.539672515006
"Italy",15.2,23.6,45.6,45.1998295806751
"W.Germany",12.3,23.7,36.9,36.6630628365366
"Austria",10.9,7,32.7,32.8059468920154
"Belgium",10.8,12.3,32.4,33.3057967159027
"USA",9.9,14.2,29.7,30.5756208354958
"Canada",8.3,7.4,24.9,24.5851804159311
"E&W",7.2,3,21.6,21.7420333026897
"Sweden",6.6,7.2,19.8,19.9586533452023
"Japan",5.8,10.6,17.4,17.9265481564359
"Netherlands",5.7,3.7,17.1,16.6648646947853
"Ireland",5.6,3.4,16.8,17.5908717562456
"Norway",4.2,4.3,12.6,12.7310593361318
"Finland",3.9,3.6,11.7,10.8110624263352
"Israel",3.1,5.4,9.3,9.4015343847722
